Team,M,W,D,L,G,GA,PTS,xG
Chelsea,8,6,1,1,16,3,19,13.45
Liverpool,8,5,3,0,22,6,18,20.54
Manchester City,8,5,2,1,16,3,17,17.89
Brighton,8,4,3,1,8,5,15,8.87
Manchester United,8,4,2,2,16,10,14,13.52
Everton,7,4,2,1,13,8,14,11.94
Brentford,8,3,3,2,10,7,12,12.65
Wolverhampton Wanderers,8,4,0,4,8,8,12,12.48
Tottenham,7,4,0,3,6,10,12,7.25
West Ham,7,3,2,2,14,10,11,12.5
Leicester,8,3,2,3,13,14,11,10.79
Aston Villa,8,3,1,4,12,12,10,8.56
Arsenal,7,3,1,3,5,10,10,7.36
Crystal Palace,7,1,4,2,8,11,7,8.68
Southampton,8,1,4,3,6,10,7,10.08
Watford,8,2,1,5,7,15,7,6.36
Leeds,8,1,3,4,7,15,6,8.35
Newcastle United,7,0,3,4,8,16,3,8.69
Burnley,8,0,3,5,5,13,3,8.88
Norwich,8,0,2,6,2,16,2,6.79
